id,name,description,long_description,id_unidad_prod,cantidad_prod,ancho_prod,etiqueta_prod,activo,category_id,subcategory_id,formula,roll_id
1,WX064153-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,153,0.064,NULL,1,1,10,S2A,6
2,WX102153-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,153,0.102,NULL,1,1,10,S2A,6
3,WX110153-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,153,0.11,NULL,1,1,10,S2A,6
4,WX040300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.04,NULL,1,1,10,S2A,6
5,WX060300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.06,NULL,1,1,10,S2A,6
6,WX064300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.064,NULL,1,1,10,S2A,6
7,WX076300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.76,NULL,1,1,10,S2A,6
8,WX080300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.08,NULL,1,1,10,S2A,6
9,WX083300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.083,NULL,1,1,10,S2A,6
10,WX089300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.089,NULL,1,1,10,S2A,6
11,WX090300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.09,NULL,1,1,10,S2A,6
12,WX102300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.102,NULL,1,1,10,S2A,6
13,WX110300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.11,NULL,1,1,10,S2A,6
14,WX106300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,330,0.106,NULL,1,1,10,S2A,6
15,WX114300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.114,NULL,1,1,10,S2A,6
16,WX130300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.13,NULL,1,1,10,S2A,6
17,WX140300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.14,NULL,1,1,10,S2A,6
18,WX152300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.152,NULL,1,1,10,S2A,6
19,WX165300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.165,NULL,1,1,10,S2A,6
20,WX178300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.178,NULL,1,1,10,S2A,6
21,WX220300-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.22,NULL,1,1,10,S2A,6
22,WX040450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.04,NULL,1,1,10,S2A,6
23,WX060450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.06,NULL,1,1,10,S2A,6
24,WX064450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.064,NULL,1,1,10,S2A,6
25,WX076450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.76,NULL,1,1,10,S2A,6
26,WX080450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.08,NULL,1,1,10,S2A,6
27,WX083450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.083,NULL,1,1,10,S2A,6
28,WX089450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.089,NULL,1,1,10,S2A,6
29,WX090450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.09,NULL,1,1,10,S2A,6
30,WX102450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.102,NULL,1,1,10,S2A,6
31,WX110450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.11,NULL,1,1,10,S2A,6
32,WX106450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.106,NULL,1,1,10,S2A,6
33,WX114450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.114,NULL,1,1,10,S2A,6
34,WX130450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.13,NULL,1,1,10,S2A,6
35,WX140450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.14,NULL,1,1,10,S2A,6
36,WX152450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.152,NULL,1,1,10,S2A,6
37,WX165450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.165,NULL,1,1,10,S2A,6
38,WX178450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.178,NULL,1,1,10,S2A,6
39,WX220450-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.22,NULL,1,1,10,S2A,6
40,WX064360-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.064,NULL,1,1,10,S2A,6
41,WX076360-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.076,NULL,1,1,10,S2A,6
42,WX102360-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.102,NULL,1,1,10,S2A,6
43,WX110360-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.11,NULL,1,1,10,S2A,6
44,WX053360-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.053,NULL,1,1,10,S2A,6
45,WX055360-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.055,NULL,1,1,10,S2A,6
46,WX083410-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.083,NULL,1,1,10,S2A,6
47,WX114410-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.114,NULL,1,1,10,S2A,6
48,WX102410-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.102,NULL,1,1,10,S2A,6
49,WX110410-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.11,NULL,1,1,10,S2A,6
50,WX110600-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,600,0.11,NULL,1,1,10,S2A,6
51,WX130600-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,600,0.13,NULL,1,1,10,S2A,6
52,WX102900-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,900,0.102,NULL,1,1,10,S2A,6
53,WX110900-O11,THERMAL TRANSFER RIBBON WAX,NULL,3,900,0.11,NULL,1,1,10,S2A,6
54,WX064153-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,153,0.064,NULL,1,1,10,4085,6
55,WX102153-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,153,0.102,NULL,1,1,10,4085,6
56,WX110153-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,153,0.11,NULL,1,1,10,4085,6
57,WX040300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.04,NULL,1,1,10,4085,6
58,WX060300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.06,NULL,1,1,10,4085,6
59,WX064300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.064,NULL,1,1,10,4085,6
60,WX076300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.76,NULL,1,1,10,4085,6
61,WX080300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.08,NULL,1,1,10,4085,6
62,WX083300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.083,NULL,1,1,10,4085,6
63,WX089300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.089,NULL,1,1,10,4085,6
64,WX090300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.09,NULL,1,1,10,4085,6
65,WX102300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.102,NULL,1,1,10,4085,6
66,WX110300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.11,NULL,1,1,10,4085,6
67,WX106300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,330,0.106,NULL,1,1,10,4085,6
68,WX114300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.114,NULL,1,1,10,4085,6
69,WX130300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.13,NULL,1,1,10,4085,6
70,WX140300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.14,NULL,1,1,10,4085,6
71,WX152300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.152,NULL,1,1,10,4085,6
72,WX165300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.165,NULL,1,1,10,4085,6
73,WX178300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.178,NULL,1,1,10,4085,6
74,WX220300-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,300,0.22,NULL,1,1,10,4085,6
75,WX040450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.04,NULL,1,1,10,4085,6
76,WX060450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.06,NULL,1,1,10,4085,6
77,WX064450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.064,NULL,1,1,10,4085,6
78,WX076450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.76,NULL,1,1,10,4085,6
79,WX080450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.08,NULL,1,1,10,4085,6
80,WX083450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.083,NULL,1,1,10,4085,6
81,WX089450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.089,NULL,1,1,10,4085,6
82,WX090450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.09,NULL,1,1,10,4085,6
83,WX102450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.102,NULL,1,1,10,4085,6
84,WX110450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.11,NULL,1,1,10,4085,6
85,WX114450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.106,NULL,1,1,10,4085,6
86,WX114450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.114,NULL,1,1,10,4085,6
87,WX130450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.13,NULL,1,1,10,4085,6
88,WX140450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.14,NULL,1,1,10,4085,6
89,WX152450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.152,NULL,1,1,10,4085,6
90,WX165450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.165,NULL,1,1,10,4085,6
91,WX178450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.178,NULL,1,1,10,4085,6
92,WX220450-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,450,0.22,NULL,1,1,10,4085,6
93,WX064360-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.064,NULL,1,1,10,4085,6
94,WX076360-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.076,NULL,1,1,10,4085,6
95,WX102360-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.102,NULL,1,1,10,4085,6
96,WX110360-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.11,NULL,1,1,10,4085,6
97,WX053360-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.053,NULL,1,1,10,4085,6
98,WX055360-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,360,0.055,NULL,1,1,10,4085,6
99,WX083410-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.083,NULL,1,1,10,4085,6
100,WX114410-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.114,NULL,1,1,10,4085,6
101,WX102410-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.102,NULL,1,1,10,4085,6
102,WX110410-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,410,0.11,NULL,1,1,10,4085,6
103,WX102600-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,600,0.102,NULL,1,1,10,4085,6
104,WX110600-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,600,0.11,NULL,1,1,10,4085,6
105,WX130600-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,600,0.13,NULL,1,1,10,4085,6
106,WX102900-I23,THERMAL TRANSFER RIBBON WAX,NULL,3,900,0.102,NULL,1,1,10,4085,6
107,WX110900-O23,THERMAL TRANSFER RIBBON WAX,NULL,3,900,0.11,NULL,1,1,10,4085,6
108,WX110074-O35,"THERMAL TRANSFER RIBBON WAX 1/2""",NULL,3,74,0.11,NULL,1,1,10,101,6
109,WR110450-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.11,NULL,1,1,10,LA4,6
110,WR102450-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.102,NULL,1,1,10,LA4,6
111,WR090450-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.09,NULL,1,1,10,LA4,6
112,WR083450-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.083,NULL,1,1,10,LA4,6
113,WR064450-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.064,NULL,1,1,10,LA4,6
114,WR055450-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.055,NULL,1,1,10,LA4,6
115,WR152450-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.152,NULL,1,1,10,LA4,6
116,WR110300-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,300,0.11,NULL,1,1,10,LA4,6
117,WR102300-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,300,0.102,NULL,1,1,10,LA4,6
118,WR080300-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,300,0.08,NULL,1,1,10,LA4,6
119,WR.060300-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,300,0.06,NULL,1,1,10,LA4,6
120,WR110360-I17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,360,0.11,NULL,1,1,10,LA4,6
121,WR102360-I17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,360,0.102,NULL,1,1,10,LA4,6
122,WR110153-I17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,153,0.11,NULL,1,1,10,LA4,6
123,WR.064153-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,153,0.064,NULL,1,1,10,LA4,6
124,WR110074-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,74,0.11,NULL,1,1,10,LA4,6
125,WR064074-O17,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,74,0.064,NULL,1,1,10,LA4,6
126,WR040450-O19,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.04,NULL,1,1,10,LA8,6
127,WR080450-O19,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.08,NULL,1,1,10,LA8,6
128,WR102450-O19,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.102,NULL,1,1,10,LA8,6
129,WR110450-O19,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,450,0.11,NULL,1,1,10,LA8,6
130,WR110300-O18,THERMAL TRANSFER RIBBON WAX/RESIN,NULL,3,300,110,NULL,1,1,10,LA5,6
131,RS10450-O112,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.11,NULL,1,1,2,HL49,6
132,RS02450-O112,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.102,NULL,1,1,2,HL49,6
133,RS60450-O112,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.06,NULL,1,1,2,HL49,6
134,RS10300-O112,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.11,NULL,1,1,2,HL49,6
135,RS02300-O112,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.102,NULL,1,1,2,HL49,6
136,RS89300-O112,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.089,NULL,1,1,2,HL49,6
137,RS64300-O112,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.064,NULL,1,1,2,HL49,6
138,RS10450-O119,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.11,NULL,1,1,2,HL45,6
139,RS64450-O119,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.064,NULL,1,1,2,HL45,6
140,RS60450-O119,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.06,NULL,1,1,2,HL45,6
141,RS10450-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.11,NULL,1,1,2,HL72,6
142,RS52450-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.152,NULL,1,1,2,HL72,6
143,RS30450-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.13,NULL,1,1,2,HL72,6
144,RS65450-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.165,NULL,1,1,2,HL72,6
145,RS10300-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.11,NULL,1,1,2,HL72,6
146,RS02300-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.102,NULL,1,1,2,HL72,6
147,RS80300-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.08,NULL,1,1,2,HL72,6
148,RS40300-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.04,NULL,1,1,2,HL72,6
149,RS40300-O113,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,140,NULL,1,1,2,HL72,6
150,RS10300-O114,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.11,NULL,1,1,2,HL35,6
151,RS64300-O114,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.064,NULL,1,1,2,HL35,6
152,RS80300-O114,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.08,NULL,1,1,2,HL35,6
153,RS10450-O114,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.11,NULL,1,1,2,HL35,6
154,RS80450-O114,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.08,NULL,1,1,2,HL35,6
155,RSM4008,THERMAL TRANSFER RIBBON RESIN,NULL,3,500,0.032,NULL,1,1,2,HL35,6
156,RSM4011,THERMAL TRANSFER RIBBON RESIN,NULL,3,500,0.05,NULL,1,1,2,HL35,6
157,RS10300-O216,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.11,NULL,1,1,2,R300,6
158,RS10300-O415,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.011,NULL,1,1,2,SP330,6
159,RS80300-O415,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.08,NULL,1,1,2,SP330,6
160,RS02300-O415,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,0.102,NULL,1,1,2,SP330,6
161,RS10450-O415,THERMAL TRANSFER RIBBON RESIN,NULL,3,450,0.11,NULL,1,1,2,SP330,6
162,RS10300-O118,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,110,NULL,1,1,2,HL30,6
163,RS40300-O118,THERMAL TRANSFER RIBBON RESIN,NULL,3,300,140,NULL,1,1,2,HL30,6
